,1-B,8-C,7-C,6-C,9-C,7-B,7-A,6-B,9-B,8-B,8-A,2-B,11-A,12-A,12-B,9-A,12-C,1-A,5-C,3-C,1-C,10-C,6-A,10-B,10-A,2-A,11-C,13-C,4-C,11-B,5-B,13-A,2-C,5-A
2-B,0.9999999940316191,0.0,0.9999999945557838,0.9999999953933063,0.0,0.0,0.0,0.9999999956580972,0.0,0.0,0.0,0.34436696900946484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999949986806,0.0,0.0,0.9999999961622454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-C,0.0,0.0,0.23628309798969682,0.0,0.23628309792257607,0.23628309840880446,0.0,0.0,0.12061931966107364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-B,0.0,0.0,0.0,0.0,0.9999999985604058,0.0,0.4079333045318372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-C,0.0,0.0,0.12373954542657573,0.0,0.0,0.0,0.0,0.0,0.9999999982828489,0.0,0.0,0.0,0.0,0.0,0.19609834256922443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-B,0.0,0.0,0.0,0.0,0.2037724288390954,0.0,0.5641046261092972,0.0,0.12331986054578148,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999992898625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09735987501900367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-B,0.0,0.0,0.0,0.0,0.9999999985665011,0.0,0.0,0.0,0.35228455274134807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471764508789264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-C,0.0,0.38804012590022063,0.34003963020820516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08006422320717388,0.0,0.0,0.0,0.0,0.0,0.0,-0.3110747444436731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-C,0.0,0.2515934614112354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25159346185360865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-C,0.0,0.3393491388537586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3032965668190527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-C,0.0,0.0,0.0,0.0,0.0,0.0,0.43034824963403495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-B,0.0,0.16796735782550787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11-B,0.0,0.0,-0.07626846331078374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-B,0.3354839157870182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-A,0.0,0.0,0.0,0.0,0.0,0.0,0.12482129754456683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
