,1-B,8-C,7-C,6-C,9-C,7-B,7-A,6-B,9-B,8-B,8-A,2-B,11-A,12-A,12-B,9-A,12-C,1-A,5-C,3-C,1-C,10-C,6-A,10-B,10-A,2-A,11-C,13-C,4-C,11-B,5-B,13-A,2-C,5-A
a-B1,0.9999999982759586,0.0,0.9999999984796133,0.9999999994590909,0.0,0.0,0.0,0.9999999992054318,0.0,0.0,0.0,0.041674157094459874,0.0,0.0,0.0,0.0,0.0,0.9999999988426911,0.0,0.1838698583425704,0.17309887566827054,0.0,0.9999999995832958,0.0,0.0,0.12503236907404225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13260902439444155
a-B2,0.0,0.9999999985856354,0.0,0.0,0.0,0.0,0.9999999996615276,0.0,0.0,0.0,0.9999999993185131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-C1,0.0,0.0,0.0,0.999999999530212,0.0,0.0,0.0,0.1270291654029192,0.0,0.8025018393759005,0.0,0.3443669720872562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-A1,0.9999999976690677,0.0,0.0,0.9999999987282451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999991672579,0.0,0.0,0.12480339737139912,0.0,0.9999999991844641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d-B2,0.0,0.18196286715975107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a-C2,0.0,0.9999999990175494,0.9999999993456814,0.0,0.0,0.0,0.9999999996713345,0.0,0.0,0.10091409277536156,0.9999999996251978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c-A1,0.0,0.0,0.0,0.17508154730580605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b-B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16633785656362665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b-A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17439208513703708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
